Member_number,Date,productId,items,productName,price,Category,Gross_sales,OrderID
2560,2015-05-17,19,1,sausage,3.1,Fresh Food,3.1,5811
1503,2015-07-25,10,1,chicken,7.2,Fresh Food,7.2,1849
2555,2015-12-23,2,3,whole milk,1.8,Dairy,5.4,5797
3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food,1.5,9848
3886,2015-09-11,38,1,soda,0.8,Beverages,0.8,10760
2932,2015-03-20,19,3,sausage,3.1,Fresh Food,9.3,7197
1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food,16.5,2598
4291,2015-12-08,19,3,sausage,3.1,Fresh Food,9.3,12283
1143,2015-04-25,38,1,soda,0.8,Beverages,0.8,524
4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,13328
3337,2015-05-14,8,3,beef,19.5,Fresh Food,58.5,8699
4931,2015-05-04,2,1,whole milk,1.8,Dairy,1.8,14716
2623,2015-10-10,41,3,processed cheese,6.4,Dairy,19.200000000000003,6052
4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food,7.8,13392
2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food,11.0,6098
1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,340
2990,2015-05-23,2,2,whole milk,1.8,Dairy,3.6,7414
2426,2015-06-05,26,1,berries,10.8,Fresh Food,10.8,5301
4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food,4.5,13295
3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food,7.8,9814
3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food,24.6,7668
4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food,12.3,12692
1306,2015-06-23,2,3,whole milk,1.8,Dairy,5.4,1114
1024,2015-08-10,42,3,fish,10.2,Fresh Food,30.599999999999998,95
1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food,11.0,1077
1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food,3.5,2442
4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets,9.3,13425
3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food,1.6,8085
3915,2015-05-21,28,3,misc. beverages,1.2,Beverages,3.5999999999999996,10874
1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food,16.5,463
4828,2015-08-08,43,1,sparkling wine,12.5,Beverages,12.5,14366
3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets,15.600000000000001,9997
1971,2015-09-18,19,1,sausage,3.1,Fresh Food,3.1,3629
3014,2015-11-11,31,3,curd cheese,9.2,Dairy,27.599999999999998,7503
3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food,11.0,10367
2489,2015-05-04,2,3,whole milk,1.8,Dairy,5.4,5539
3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal,3.2,9546
4092,2015-09-30,26,1,berries,10.8,Fresh Food,10.8,11486
3221,2015-01-13,45,2,curd,9.8,Dairy,19.6,8279
1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food,23.4,1011
2581,2015-08-22,38,3,soda,0.8,Beverages,2.4000000000000004,5891
2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,4833
4760,2015-02-22,25,3,canned beer,1.1,Beverages,3.3000000000000003,14100
3649,2015-01-16,25,3,canned beer,1.1,Beverages,3.3000000000000003,9861
1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food,5.5,272
3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,11143
4106,2015-08-25,2,3,whole milk,1.8,Dairy,5.4,11544
4338,2015-06-24,2,2,whole milk,1.8,Dairy,3.6,12498
4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food,3.0,11793
1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food,5.5,767
3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food,16.5,11010
3928,2015-07-18,16,3,butter milk,6.1,Dairy,18.299999999999997,10926
3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food,36.900000000000006,10539
4699,2015-02-08,46,1,pasta,3.1,Pantry Staples,3.1,13871
4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food,0.8,14055
3028,2015-06-09,19,2,sausage,3.1,Fresh Food,6.2,7553
2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,6913
4417,2015-02-25,40,3,grapes,9.4,Fresh Food,28.200000000000003,12784
3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food,5.4,10528
2288,2015-05-31,27,1,coffee,8.5,Beverages,8.5,4797
2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets,7.199999999999999,4413
4554,2015-08-27,2,3,whole milk,1.8,Dairy,5.4,13290
3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food,7.8,8787
2999,2015-04-17,8,1,beef,19.5,Fresh Food,19.5,7448
2614,2015-06-25,2,3,whole milk,1.8,Dairy,5.4,6019
4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food,16.5,11375
3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food,23.4,9552
2587,2015-05-07,25,2,canned beer,1.1,Beverages,2.2,5914
3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food,13.0,10386
1923,2015-02-14,49,2,beverages,1.1,Beverages,2.2,3440
4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food,12.3,14391
1514,2015-08-24,2,2,whole milk,1.8,Dairy,3.6,1895
3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food,6.5,8033
1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food,0.8,1141
2794,2015-07-18,29,2,ham,15.2,Fresh Food,30.4,6698
2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food,1.6,5067
2238,2015-03-09,45,2,curd,9.8,Dairy,19.6,4614
3795,2015-01-17,50,3,bottled beer,1.8,Beverages,5.4,10431
3724,2015-11-26,45,2,curd,9.8,Dairy,19.6,10142
1152,2015-03-05,2,3,whole milk,1.8,Dairy,5.4,560
4559,2015-03-16,2,1,whole milk,1.8,Dairy,1.8,13309
3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets,3.4499999999999997,10904
1709,2015-04-22,19,2,sausage,3.1,Fresh Food,6.2,2588
2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food,0.8,4539
2206,2015-10-17,29,1,ham,15.2,Fresh Food,15.2,4493
1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food,0.8,2757
3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,10975
3296,2015-08-17,38,2,soda,0.8,Beverages,1.6,8549
2257,2015-02-05,37,1,herbs,6.5,Fresh Food,6.5,4686
4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food,5.5,12387
2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,3731
2449,2015-07-08,45,3,curd,9.8,Dairy,29.400000000000002,5409
4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food,16.5,14661
2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food,1.6,6590
4187,2015-05-09,52,3,dog food,12.6,Pet Care,37.8,11866
1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets,5.2,1431
3427,2015-04-28,45,2,curd,9.8,Dairy,19.6,9005
1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food,5.5,1494
3390,2015-11-14,38,1,soda,0.8,Beverages,0.8,8878
4787,2015-08-01,8,3,beef,19.5,Fresh Food,58.5,14203
3310,2015-01-17,25,2,canned beer,1.1,Beverages,2.2,8608
1782,2015-10-10,23,3,pork,7.2,Fresh Food,21.6,2881
3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,8831
2760,2015-01-07,19,2,sausage,3.1,Fresh Food,6.2,6567
4249,2015-09-13,25,1,canned beer,1.1,Beverages,1.1,12117
2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets,18.8,7091
4090,2015-02-26,45,2,curd,9.8,Dairy,19.6,11476
3060,2015-07-05,25,1,canned beer,1.1,Beverages,1.1,7676
3768,2015-10-07,2,2,whole milk,1.8,Dairy,3.6,10329
1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,840
1360,2015-10-23,23,3,pork,7.2,Fresh Food,21.6,1307
1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food,3.0,385
2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene,10.5,6964
2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,7303
2448,2015-07-12,11,1,butter,3.2,Dairy,3.2,5402
1222,2015-09-24,54,1,condensed milk,3.5,Dairy,3.5,805
2943,2015-06-20,19,1,sausage,3.1,Fresh Food,3.1,7239
2270,2015-08-11,2,3,whole milk,1.8,Dairy,5.4,4730
3812,2015-07-21,19,1,sausage,3.1,Fresh Food,3.1,10491
1482,2015-11-22,49,2,beverages,1.1,Beverages,2.2,1764
4720,2015-02-22,49,2,beverages,1.1,Beverages,2.2,13950
1344,2015-09-04,17,2,bottled water,0.5,Beverages,1.0,1254
2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal,9.600000000000001,5205
4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene,11.8,11847
4487,2015-07-10,19,1,sausage,3.1,Fresh Food,3.1,13033
3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal,3.2,9148
2443,2015-11-15,19,3,sausage,3.1,Fresh Food,9.3,5381
2749,2015-01-27,28,2,misc. beverages,1.2,Beverages,2.4,6523
4389,2015-04-13,56,2,white wine,14.2,Beverages,28.4,12681
1674,2015-12-04,19,1,sausage,3.1,Fresh Food,3.1,2474
4262,2015-10-16,57,2,meat,8.5,Fresh Food,17.0,12172
2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food,11.0,4051
4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food,5.4,13057
2460,2015-09-28,25,3,canned beer,1.1,Beverages,3.3000000000000003,5444
4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food,23.4,13123
2267,2015-07-03,57,3,meat,8.5,Fresh Food,25.5,4721
4891,2015-09-05,2,1,whole milk,1.8,Dairy,1.8,14597
3962,2015-09-20,19,3,sausage,3.1,Fresh Food,9.3,11051
4964,2015-07-18,9,2,frankfurter,5.5,Fresh Food,11.0,14853
2914,2015-11-30,57,1,meat,8.5,Fresh Food,8.5,7132
2808,2015-05-05,22,2,root vegetables,1.8,Fresh Food,3.6,6762
1085,2015-08-15,22,2,root vegetables,1.8,Fresh Food,3.6,302
3808,2015-08-18,2,2,whole milk,1.8,Dairy,3.6,10473
4149,2015-01-07,7,3,citrus fruit,1.5,Fresh Food,4.5,11720
2331,2015-06-05,7,3,citrus fruit,1.5,Fresh Food,4.5,4954
4475,2015-04-03,4,1,other vegetables,0.8,Fresh Food,0.8,12996
2761,2015-04-25,7,1,citrus fruit,1.5,Fresh Food,1.5,6577
2620,2015-12-14,19,3,sausage,3.1,Fresh Food,9.3,6044
3206,2015-10-13,9,2,frankfurter,5.5,Fresh Food,11.0,8225
1226,2015-04-13,59,1,hard cheese,4.5,Dairy,4.5,819
1395,2015-03-07,60,3,cream cheese,6.3,Dairy,18.9,1440
2465,2015-06-07,30,3,turkey,12.5,Fresh Food,37.5,5458
3572,2015-07-09,23,3,pork,7.2,Fresh Food,21.6,9571
4387,2015-05-08,2,2,whole milk,1.8,Dairy,3.6,12671
1555,2015-03-27,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2027
1181,2015-11-16,19,3,sausage,3.1,Fresh Food,9.3,666
2814,2015-05-11,58,3,ice cream,1.8,Frozen & Processed Food,5.4,6787
2794,2015-09-16,61,3,liquor,8.5,Beverages,25.5,6700
2912,2015-01-28,3,1,pip fruit,3.0,Fresh Food,3.0,7126
4667,2015-01-12,22,1,root vegetables,1.8,Fresh Food,1.8,13721
2235,2015-10-25,38,3,soda,0.8,Beverages,2.4000000000000004,4604
2353,2015-05-02,38,2,soda,0.8,Beverages,1.6,5042
3449,2015-03-08,19,1,sausage,3.1,Fresh Food,3.1,9071
1058,2015-11-10,22,3,root vegetables,1.8,Fresh Food,5.4,219
1027,2015-05-17,23,1,pork,7.2,Fresh Food,7.2,107
3302,2015-05-22,23,1,pork,7.2,Fresh Food,7.2,8570
2229,2015-05-30,14,2,chocolate,11.5,Bakery & Sweets,23.0,4571
2188,2015-08-15,12,3,fruit/vegetable juice,2.1,Beverages,6.300000000000001,4431
1547,2015-04-18,62,3,pickled vegetables,2.7,Fresh Food,8.100000000000001,1999
1649,2015-06-30,17,2,bottled water,0.5,Beverages,1.0,2381
3254,2015-09-10,9,2,frankfurter,5.5,Fresh Food,11.0,8399
2818,2015-11-07,1,3,tropical fruit,7.8,Fresh Food,23.4,6806
2703,2015-05-08,25,3,canned beer,1.1,Beverages,3.3000000000000003,6348
3332,2015-01-31,22,2,root vegetables,1.8,Fresh Food,3.6,8687
2473,2015-07-01,57,1,meat,8.5,Fresh Food,8.5,5488
2810,2015-12-30,9,1,frankfurter,5.5,Fresh Food,5.5,6770
1033,2015-04-22,1,2,tropical fruit,7.8,Fresh Food,15.6,125
4222,2015-05-27,1,1,tropical fruit,7.8,Fresh Food,7.8,12014
3679,2015-09-21,7,2,citrus fruit,1.5,Fresh Food,3.0,9977
2212,2015-08-27,21,1,hamburger meat,12.3,Fresh Food,12.3,4515
1507,2015-06-22,10,1,chicken,7.2,Fresh Food,7.2,1864
2870,2015-01-21,10,3,chicken,7.2,Fresh Food,21.6,6985
3429,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,9012
4148,2015-04-09,25,1,canned beer,1.1,Beverages,1.1,11717
2970,2015-12-30,30,1,turkey,12.5,Fresh Food,12.5,7343
2013,2015-08-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,3771
3967,2015-05-30,46,3,pasta,3.1,Pantry Staples,9.3,11073
2885,2015-05-15,7,3,citrus fruit,1.5,Fresh Food,4.5,7042
3935,2015-07-02,19,2,sausage,3.1,Fresh Food,6.2,10948
3283,2015-05-01,2,1,whole milk,1.8,Dairy,1.8,8497
3268,2015-11-06,25,3,canned beer,1.1,Beverages,3.3000000000000003,8457
3677,2015-04-30,7,1,citrus fruit,1.5,Fresh Food,1.5,9968
3495,2015-06-27,63,2,liquor (appetizer),11.2,Beverages,22.4,9265
1410,2015-10-04,7,2,citrus fruit,1.5,Fresh Food,3.0,1491
2440,2015-06-06,19,3,sausage,3.1,Fresh Food,9.3,5365
4088,2015-01-13,10,2,chicken,7.2,Fresh Food,14.4,11468
2469,2015-09-23,21,1,hamburger meat,12.3,Fresh Food,12.3,5475
4229,2015-03-06,19,3,sausage,3.1,Fresh Food,9.3,12045
2728,2015-08-02,8,1,beef,19.5,Fresh Food,19.5,6441
4694,2015-01-25,7,1,citrus fruit,1.5,Fresh Food,1.5,13843
2836,2015-12-29,64,2,UHT-milk,2.1,Dairy,4.2,6858
1311,2015-02-12,65,2,candy,3.6,Bakery & Sweets,7.2,1133
1760,2015-01-23,44,2,newspapers,3.2,Specialty & Seasonal,6.4,2789
3656,2015-03-02,8,2,beef,19.5,Fresh Food,39.0,9882
3720,2015-05-28,19,2,sausage,3.1,Fresh Food,6.2,10131
2996,2015-09-26,9,3,frankfurter,5.5,Fresh Food,16.5,7439
1949,2015-07-22,25,1,canned beer,1.1,Beverages,1.1,3553
4498,2015-02-11,50,1,bottled beer,1.8,Beverages,1.8,13072
2447,2015-12-28,66,1,onions,1.3,Fresh Food,1.3,5399
1952,2015-03-23,1,1,tropical fruit,7.8,Fresh Food,7.8,3562
4099,2015-01-27,17,2,bottled water,0.5,Beverages,1.0,11511
1804,2015-03-12,8,1,beef,19.5,Fresh Food,19.5,2975
1510,2015-05-16,19,3,sausage,3.1,Fresh Food,9.3,1879
2879,2015-04-18,67,3,hair spray,5.4,Personal Care,16.200000000000003,7018
4899,2015-03-12,10,1,chicken,7.2,Fresh Food,7.2,14625
4326,2015-09-29,23,1,pork,7.2,Fresh Food,7.2,12448
1670,2015-05-17,58,3,ice cream,1.8,Frozen & Processed Food,5.4,2464
1117,2015-05-24,57,3,meat,8.5,Fresh Food,25.5,429
1346,2015-04-03,4,2,other vegetables,0.8,Fresh Food,1.6,1259
1178,2015-11-15,17,3,bottled water,0.5,Beverages,1.5,659
1649,2015-06-25,1,2,tropical fruit,7.8,Fresh Food,15.6,2380
4651,2015-06-21,68,2,photo/film,11.9,Household & Hygiene,23.8,13652
4243,2015-04-02,19,2,sausage,3.1,Fresh Food,6.2,12098
4429,2015-07-21,40,2,grapes,9.4,Fresh Food,18.8,12817
4645,2015-07-25,69,2,domestic eggs,1.25,Fresh Food,2.5,13625
4019,2015-07-24,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,11243
4459,2015-04-26,1,3,tropical fruit,7.8,Fresh Food,23.4,12936
3006,2015-12-27,10,2,chicken,7.2,Fresh Food,14.4,7470
1834,2015-09-17,9,3,frankfurter,5.5,Fresh Food,16.5,3089
3236,2015-07-04,26,3,berries,10.8,Fresh Food,32.400000000000006,8329
1765,2015-03-11,70,2,margarine,3.5,Pantry Staples,7.0,2809
3855,2015-03-09,1,1,tropical fruit,7.8,Fresh Food,7.8,10651
4392,2015-11-28,29,2,ham,15.2,Fresh Food,30.4,12697
3330,2015-07-26,21,1,hamburger meat,12.3,Fresh Food,12.3,8683
1723,2015-09-02,18,3,yogurt,2.2,Dairy,6.6000000000000005,2636
4110,2015-03-30,38,1,soda,0.8,Beverages,0.8,11564
2600,2015-01-28,18,1,yogurt,2.2,Dairy,2.2,5964
2946,2015-10-07,38,1,soda,0.8,Beverages,0.8,7252
2426,2015-09-08,17,3,bottled water,0.5,Beverages,1.5,5303
4170,2015-05-03,19,3,sausage,3.1,Fresh Food,9.3,11807
1109,2015-04-06,7,1,citrus fruit,1.5,Fresh Food,1.5,394
3429,2015-01-04,71,1,shopping bags,5.12,Household & Hygiene,5.12,9010
2055,2015-02-04,44,2,newspapers,3.2,Specialty & Seasonal,6.4,3939
2480,2015-09-20,9,1,frankfurter,5.5,Fresh Food,5.5,5515
2441,2015-05-30,19,2,sausage,3.1,Fresh Food,6.2,5371
1054,2015-10-04,9,1,frankfurter,5.5,Fresh Food,5.5,206
4818,2015-01-11,72,2,salt,0.7,Pantry Staples,1.4,14316
3379,2015-01-21,73,3,oil,3.4,Pantry Staples,10.2,8839
3939,2015-02-10,45,1,curd,9.8,Dairy,9.8,10964
1367,2015-08-05,4,1,other vegetables,0.8,Fresh Food,0.8,1340
1043,2015-01-10,7,1,citrus fruit,1.5,Fresh Food,1.5,159
2231,2015-10-17,9,1,frankfurter,5.5,Fresh Food,5.5,4582
3235,2015-12-28,22,2,root vegetables,1.8,Fresh Food,3.6,8325
4554,2015-07-16,1,1,tropical fruit,7.8,Fresh Food,7.8,13289
3245,2015-01-24,8,3,beef,19.5,Fresh Food,58.5,8349
2996,2015-05-19,26,3,berries,10.8,Fresh Food,32.400000000000006,7438
2507,2015-01-05,25,1,canned beer,1.1,Beverages,1.1,5594
4186,2015-10-25,74,3,whipped/sour cream,5.5,Dairy,16.5,11861
3929,2015-04-28,22,1,root vegetables,1.8,Fresh Food,1.8,10929
3760,2015-11-22,2,1,whole milk,1.8,Dairy,1.8,10288
4928,2015-08-18,8,3,beef,19.5,Fresh Food,58.5,14706
4217,2015-12-18,75,1,frozen vegetables,2.5,Frozen & Processed Food,2.5,11995
1174,2015-02-11,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,643
4103,2015-06-19,2,2,whole milk,1.8,Dairy,3.6,11527
4408,2015-03-13,2,1,whole milk,1.8,Dairy,1.8,12750
2588,2015-12-28,7,2,citrus fruit,1.5,Fresh Food,3.0,5917
2598,2015-11-11,24,3,pastry,3.1,Bakery & Sweets,9.3,5957
1518,2015-12-11,9,2,frankfurter,5.5,Fresh Food,11.0,1910
2702,2015-04-08,1,2,tropical fruit,7.8,Fresh Food,15.6,6344
1001,2015-01-20,9,3,frankfurter,5.5,Fresh Food,16.5,8
2270,2015-09-30,26,2,berries,10.8,Fresh Food,21.6,4731
2838,2015-11-10,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,6866
1683,2015-05-26,22,3,root vegetables,1.8,Fresh Food,5.4,2504
4040,2015-04-03,18,2,yogurt,2.2,Dairy,4.4,11311
3897,2015-08-23,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,10798
